pair_id,delta_A,delta_B,p_breakdown,V_A_initial,V_B_initial,V_A_step_10,V_B_step_10,V_A_step_100,V_B_step_100,V_A_star,V_B_star,abs_err_A_final,abs_err_B_final
80,0.8288704993571460,0.6165370806945922,0.0767577088501630,0.4667112559064771,0.9019649700484719,0.7631779173694495,0.4160431154214240,0.7632508388233259,0.4159235939617937,0.7632508388233259,0.4159235939617937,0.0000000000000000e+00,0.0000000000000000e+00
81,0.7050656934912338,0.5646754823131306,0.0132236802180459,0.3606174903868148,0.8766954816574721,0.7231019411791400,0.4969172983383346,0.7231297371733789,0.4968881762279308,0.7231297371733788,0.4968881762279307,1.1102230246251565e-16,5.5511151231257827e-17
82,0.9007297846396967,0.8264708140398973,0.2290816543732775,0.1174168882084131,0.3235915778697842,0.6506254258549470,0.5480418577182626,0.6507786792024435,0.5481063686071638,0.6507786792024434,0.5481063686071638,1.1102230246251565e-16,0.0000000000000000e+00
83,0.5901470015556979,0.8848411156947743,0.0333156881538404,0.2073462845050070,0.6786105837683316,0.2824230425434403,0.8387261758639659,0.2824805582553537,0.8388488391556210,0.2824805582553537,0.8388488391556211,0.0000000000000000e+00,1.1102230246251565e-16
84,0.5209017951042531,0.8752574301681618,0.0383047407439337,0.0245613949101325,0.8861601715577907,0.2736186278412406,0.8629130382817396,0.2736628910039748,0.8629089067348210,0.2736628910039748,0.8629089067348210,5.5511151231257827e-17,0.0000000000000000e+00
85,0.5532229731723081,0.6618121810487877,0.3201508125930101,0.0930771613525628,0.7668774661532277,0.6621123452717843,0.7509741212449522,0.6621123562300143,0.7509741209386925,0.6621123562300144,0.7509741209386925,1.1102230246251565e-16,0.0000000000000000e+00
86,0.8567324882862961,0.6085247282232971,0.1966438357271982,0.2663001177245448,0.6284761969329175,0.7703159446252204,0.4698178264966485,0.7703253169975051,0.4698148761819273,0.7703253169975051,0.4698148761819273,0.0000000000000000e+00,0.0000000000000000e+00
87,0.7317010705206659,0.7277348056582186,0.0966033808988572,0.8199702656357306,0.1525756145600226,0.6059076395489729,0.5994118195810925,0.6058562017018900,0.5995191913946836,0.6058562017018899,0.5995191913946836,1.1102230246251565e-16,0.0000000000000000e+00
88,0.5874104539361289,0.7724704609154451,0.1394505693438075,0.5266375099372003,0.0730026925705635,0.5049175918375967,0.7447541838399945,0.5049171931634161,0.7447665139958517,0.5049171931634160,0.7447665139958516,1.1102230246251565e-16,1.1102230246251565e-16
89,0.7505014920496145,0.9511618214249068,0.2916963915372686,0.4244978906911060,0.6146221798165610,0.5083405239726527,0.7297693185904838,0.5083434342124097,0.7297733154327588,0.5083434342124097,0.7297733154327588,0.0000000000000000e+00,0.0000000000000000e+00
90,0.5831098093023208,0.9299151140515459,0.0265416579026407,0.6621629439585490,0.5002756656891081,0.1955281386210137,0.8888528232164359,0.1949285978510426,0.8893520741200382,0.1949285978510426,0.8893520741200384,2.7755575615628914e-17,1.1102230246251565e-16
